"wc2.0_bio_10m_01.tif" "wc2.0_bio_10m_02.tif" "wc2.0_bio_10m_03.tif" "wc2.0_bio_10m_04.tif" "wc2.0_bio_10m_05.tif" "wc2.0_bio_10m_06.tif" "wc2.0_bio_10m_07.tif" "wc2.0_bio_10m_08.tif" "wc2.0_bio_10m_09.tif" "wc2.0_bio_10m_10.tif" "wc2.0_bio_10m_11.tif" "wc2.0_bio_10m_12.tif" "wc2.0_bio_10m_13.tif" "wc2.0_bio_10m_14.tif" "wc2.0_bio_10m_15.tif" "wc2.0_bio_10m_16.tif" "wc2.0_bio_10m_17.tif" "wc2.0_bio_10m_18.tif" "wc2.0_bio_10m_19.tif"
"1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"100" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"101" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"102" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"103" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"104" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"105" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"106" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"107" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"108" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"109" 10.6867425463473 6.74318189981083 23.2014391782313 832.852191927959 24.75 -4.313636302948 29.063636302948 20.9810606638591 1.12878794347246 20.9810606638591 0.528030375639598 421 50 25 22.2481856833992 135 84 135 95
"11" 10.4576638266444 7.64773759742578 25.3715755529189 840.951697748107 24.880054473877 -5.26288080215454 30.1429352760315 18.9003229141235 0.766389598449071 20.7989379564921 0.196768224239349 441 52 26 22.98621284071 143 87 143 99
"110" 9.70467712978522 8.44102091590563 26.386229825386 869.165155785068 24.6695003509521 -7.32074975967407 31.9902501106262 18.5629167556763 -0.197583238283793 20.3983332316081 -0.954083283742269 488 57 26 23.3885752996085 158 99 155 115
"111" 9.72257302204768 8.30289586385091 25.7875929447823 878.866655403425 24.7597503662109 -7.4375 32.1972503662109 18.7578752835592 -0.24999996026357 20.4685835838318 -1.09429168701172 494 58 26 23.5603988649907 160 100 155 117
"112" 9.23051033914089 8.51752067605654 25.1712806536385 904.31828100517 24.7582492828369 -9.07999992370605 33.838249206543 18.3870832125346 -1.06499999761581 20.200833161672 -2.03179162740707 507 65 26 27.4130527600049 176 102 170 115
"113" 9.02095822989941 8.45075004299482 25.1138570251129 901.944696804381 24.4382495880127 -9.21150016784668 33.6497497558594 18.143666267395 3.01904165744781 19.8734582265218 -2.24354173739751 499 66 26 28.699330857815 177 101 171 113
"114" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"115" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
